modelo,threshold,accuracy,precision_1,recall_1,f1_1,roc_auc,average_precision,experimento
ResamplingDecisionTree_SMOTE@f1,0.65,0.7235913581587232,0.16485507246376813,0.4648127128263337,0.24338781575037147,0.6483606666276045,0.14537309992527425,resampling
ResamplingDecisionTree_SMOTE@0.50,0.5,0.6472152860710021,0.14843402107763098,0.5675368898978433,0.23532180256500765,0.6483606666276045,0.14537309992527425,resampling
ResamplingDecisionTree_SMOTE@cost,0.45,0.6383128867658234,0.14664744051910597,0.5771850170261067,0.23387374956881685,0.6483606666276045,0.14537309992527425,resampling
ResamplingDecisionTree_SMOTE@f2,0.3,0.4280208446422755,0.12173463229588757,0.8013620885357549,0.2113614250430357,0.6483606666276045,0.14537309992527425,resampling
ResamplingKNN_SMOTE@f2,0.2,0.51552491586147,0.11584253995495013,0.6129398410896708,0.19485791610284167,0.5876246639404912,0.12865175212592164,resampling
ResamplingKNN_SMOTE@cost,0.2,0.51552491586147,0.11584253995495013,0.6129398410896708,0.19485791610284167,0.5876246639404912,0.12865175212592164,resampling
ResamplingKNN_SMOTE@f1,0.3,0.7120833785691022,0.12887678122380553,0.34903518728717364,0.18824609733700642,0.5876246639404912,0.12865175212592164,resampling
ResamplingKNN_SMOTE@0.50,0.5,0.8741721854304636,0.17824074074074073,0.08740068104426787,0.1172886519421173,0.5876246639404912,0.12865175212592164,resampling
ResamplingDecisionTree_NearMiss@f1,0.15,0.1446639887091521,0.10048529831572937,0.9988649262202043,0.1826010271307776,0.46332338837918824,0.08432839471935268,resampling
ResamplingDecisionTree_NearMiss@f2,0.1,0.1446639887091521,0.10048529831572937,0.9988649262202043,0.1826010271307776,0.46332338837918824,0.08432839471935268,resampling
ResamplingDecisionTree_NearMiss@cost,0.1,0.1446639887091521,0.10048529831572937,0.9988649262202043,0.1826010271307776,0.46332338837918824,0.08432839471935268,resampling
ResamplingDecisionTree_NearMiss@0.50,0.5,0.42650092280968405,0.08706257622666291,0.5266742338251986,0.14942436196763545,0.46332338837918824,0.08432839471935268,resampling
ResamplingKNN_NearMiss@f1,0.05,0.18201063945282814,0.08619939050936004,0.7866061293984109,0.1553724567008576,0.4007104430875641,0.07546979704652783,resampling
ResamplingKNN_NearMiss@f2,0.05,0.18201063945282814,0.08619939050936004,0.7866061293984109,0.1553724567008576,0.4007104430875641,0.07546979704652783,resampling
ResamplingKNN_NearMiss@cost,0.1,0.2333622842253827,0.08600710027463326,0.7287173666288309,0.15385537115810916,0.4007104430875641,0.07546979704652783,resampling
ResamplingKNN_NearMiss@0.50,0.5,0.6029747041580719,0.05950491907331006,0.21282633371169127,0.09300595238095238,0.4007104430875641,0.07546979704652783,resampling
